,날짜,통화코드,현재환율,50일_MA
0,20250923,AUD,919.97,
1,20250924,AUD,919.84,
2,20250925,AUD,918.54,
3,20250926,AUD,915.58,
4,20250929,AUD,924.53,
5,20250930,AUD,922.37,
6,20251001,AUD,928.71,
7,20251002,AUD,929.86,
8,20251010,AUD,918.88,
9,20251013,AUD,922.69,922.097
10,20251014,AUD,930.08,923.1080000000002
11,20251015,AUD,927.32,923.8560000000001
12,20251016,AUD,927.5,924.7520000000001
13,20251017,AUD,920.57,925.251
14,20251020,AUD,923.1,925.108
15,20251021,AUD,925.4,925.4110000000001
16,20251022,AUD,924.27,924.967
17,20251023,AUD,927.92,924.7730000000001
18,20251024,AUD,935.73,926.458
19,20251027,AUD,938.56,928.0450000000001
20,20251028,AUD,939.29,928.966
21,20251029,AUD,943.91,930.625
22,20251030,AUD,941.41,932.016
23,20251031,AUD,932.77,933.2359999999999
24,20251103,AUD,934.02,934.3279999999999
25,20251104,AUD,934.28,935.216
26,20251105,AUD,933.07,936.0959999999999
27,20251106,AUD,941.49,937.4529999999999
28,20251107,AUD,936.68,937.548
29,20251110,AUD,945.03,938.195
30,20251111,AUD,950.14,939.28
31,20251112,AUD,955.1,940.399
32,20251113,AUD,958.44,942.1019999999999
33,20251114,AUD,959.95,944.82
34,20251117,AUD,952.91,946.7090000000001
35,20251118,AUD,947.38,948.019
36,20251119,AUD,953.92,950.104
37,20251120,AUD,949.76,950.9309999999999
38,20251121,AUD,945.5,951.8129999999999
39,20251124,AUD,951.43,952.4529999999999
40,20251125,AUD,952.91,952.7299999999999
41,20251126,AUD,953.5,952.5699999999999
42,20251127,AUD,953.68,952.094
43,20251128,AUD,957.39,951.838
44,20251201,AUD,960.31,952.5780000000001
45,20251202,AUD,961.23,953.963
46,20251203,AUD,965.16,955.0869999999999
47,20251204,AUD,969.34,957.0450000000001
48,20251205,AUD,972.29,959.7239999999999
49,20251208,AUD,976.74,962.2549999999999
